[info] Benchmark                                                       Mode  Cnt    Score    Error  Units
[info] SetBenchmark_BadInvoice_HalfHit_Large.contains_ArraySet         avgt   20    2.864 ±  0.028  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Large.contains_BitSet           avgt   20    3.616 ±  0.111  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Large.contains_JavaHashSet      avgt   20   12.343 ±  0.107  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Large.contains_Set              avgt   20   53.748 ±  5.162  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Large.contains_SortedSet        avgt   20  675.804 ±  4.145  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Small.contains_Array            avgt   20   72.037 ±  0.439  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Small.contains_ArraySet         avgt   20    0.906 ±  0.007  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Small.contains_BitSet           avgt   20    2.812 ±  0.022  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Small.contains_JavaHashSet      avgt   20    6.426 ±  0.171  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Small.contains_Set              avgt   20    9.149 ±  0.062  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Small.contains_SortedSet        avgt   20   19.106 ±  0.466  us/op
[info] SetBenchmark_BadInvoice_HalfHit_VerySmall.contains_Array        avgt   20    4.675 ±  0.036  us/op
[info] SetBenchmark_BadInvoice_HalfHit_VerySmall.contains_ArraySet     avgt   20    0.824 ±  0.006  us/op
[info] SetBenchmark_BadInvoice_HalfHit_VerySmall.contains_BitSet       avgt   20    2.567 ±  0.029  us/op
[info] SetBenchmark_BadInvoice_HalfHit_VerySmall.contains_JavaHashSet  avgt   20    6.869 ±  0.168  us/op
[info] SetBenchmark_BadInvoice_HalfHit_VerySmall.contains_Set          avgt   20    6.456 ±  0.092  us/op
[info] SetBenchmark_BadInvoice_HalfHit_VerySmall.contains_SortedSet    avgt   20    8.465 ±  0.559  us/op
[info] SetBenchmark_Invoice_HalfHit_Large.contains_ArraySet            avgt   20    2.850 ±  0.035  us/op
[info] SetBenchmark_Invoice_HalfHit_Large.contains_BitSet              avgt   20    3.431 ±  0.033  us/op
[info] SetBenchmark_Invoice_HalfHit_Large.contains_JavaHashSet         avgt   20   11.015 ±  0.124  us/op
[info] SetBenchmark_Invoice_HalfHit_Large.contains_Set                 avgt   20   58.255 ±  1.033  us/op
[info] SetBenchmark_Invoice_HalfHit_Large.contains_SortedSet           avgt   20  672.738 ± 12.526  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_Array               avgt   20   71.145 ±  0.400  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_ArraySet            avgt   20    0.888 ±  0.011  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_BitSet              avgt   20    3.108 ±  0.030  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_JavaHashSet         avgt   20    5.915 ±  0.159  us/op
