[info] Benchmark                                             Mode  Cnt      Score     Error  Units
[info] StatsBenchmark_Large.fastForeach2_immutable_final     avgt   20  20001.132 ± 507.329  us/op
[info] StatsBenchmark_Large.fastForeach2_immutable_nonfinal  avgt   20  19457.682 ± 523.691  us/op
[info] StatsBenchmark_Large.fastForeach2_mutable_final       avgt   20  19400.702 ± 719.505  us/op
[info] StatsBenchmark_Large.fastForeach2_mutable_nonfinal    avgt   20  19423.009 ± 156.307  us/op
[info] StatsBenchmark_Large.fastForeach_array                avgt   20  17662.294 ± 215.260  us/op
[info] StatsBenchmark_Large.fastForeach_immutable_final      avgt   20  18546.342 ± 459.189  us/op
[info] StatsBenchmark_Large.fastForeach_immutable_nonfinal   avgt   20  19082.339 ± 633.579  us/op
[info] StatsBenchmark_Large.fastForeach_mutable_final        avgt   20  18415.067 ± 629.641  us/op
[info] StatsBenchmark_Large.fastForeach_mutable_nonfinal     avgt   20  19010.963 ± 359.976  us/op
[info] StatsBenchmark_Large.foreach_array                    avgt   20  17084.757 ± 451.994  us/op
[info] StatsBenchmark_Large.foreach_immutable_final          avgt   20  19951.338 ± 504.388  us/op
[info] StatsBenchmark_Large.foreach_immutable_nonfinal       avgt   20  19614.223 ± 773.916  us/op
[info] StatsBenchmark_Large.foreach_mutable_final            avgt   20  16503.090 ± 356.496  us/op
[info] StatsBenchmark_Large.foreach_mutable_nonfinal         avgt   20  17366.382 ± 265.484  us/op
[info] StatsBenchmark_Small.fastForeach2_immutable_final     avgt   20      0.753 ±   0.007  us/op
[info] StatsBenchmark_Small.fastForeach2_immutable_nonfinal  avgt   20      0.758 ±   0.004  us/op
[info] StatsBenchmark_Small.fastForeach2_mutable_final       avgt   20      0.529 ±   0.006  us/op
[info] StatsBenchmark_Small.fastForeach2_mutable_nonfinal    avgt   20      0.532 ±   0.004  us/op
[info] StatsBenchmark_Small.fastForeach_array                avgt   20      0.357 ±   0.002  us/op
[info] StatsBenchmark_Small.fastForeach_immutable_final      avgt   20      0.747 ±   0.006  us/op
[info] StatsBenchmark_Small.fastForeach_immutable_nonfinal   avgt   20      0.709 ±   0.005  us/op
[info] StatsBenchmark_Small.fastForeach_mutable_final        avgt   20      0.407 ±   0.004  us/op
[info] StatsBenchmark_Small.fastForeach_mutable_nonfinal     avgt   20      0.399 ±   0.004  us/op
