[info] Benchmark                                                     Mode  Cnt      Score     Error  Units
[info] StatsBenchmark_Large.fastFoldLeft_array_update                avgt   20  17168.094 ± 223.050  us/op
[info] StatsBenchmark_Large.fastFoldLeft_immutable_final_updated     avgt   20  18252.976 ± 830.748  us/op
[info] StatsBenchmark_Large.fastFoldLeft_immutable_nonfinal_updated  avgt   20  18156.271 ± 726.972  us/op
[info] StatsBenchmark_Large.fastFoldLeft_mutable_final_update        avgt   20  18012.584 ± 121.322  us/op
[info] StatsBenchmark_Large.fastFoldLeft_mutable_nonfinal_update     avgt   20  18224.016 ± 247.407  us/op
[info] StatsBenchmark_Large.fastForeach_array_updated                avgt   20  17236.754 ± 264.659  us/op
[info] StatsBenchmark_Large.fastForeach_immutable_final_updated      avgt   20  19290.204 ± 404.078  us/op
[info] StatsBenchmark_Large.fastForeach_immutable_nonfinal_updated   avgt   20  18207.525 ± 756.072  us/op
[info] StatsBenchmark_Large.fastForeach_mutable_final_updated        avgt   20  23634.759 ± 472.526  us/op
[info] StatsBenchmark_Large.fastForeach_mutable_nonfinal_updated     avgt   20  17879.038 ± 144.571  us/op
[info] StatsBenchmark_Large.foldLeft_array_update                    avgt   20  20578.704 ± 901.819  us/op
[info] StatsBenchmark_Large.foldLeft_immutable_final_updated         avgt   20  21493.107 ± 608.679  us/op
[info] StatsBenchmark_Large.foldLeft_immutable_nonfinal_updated      avgt   20  20365.275 ± 482.014  us/op
[info] StatsBenchmark_Large.foldLeft_mutable_final_update            avgt   20  19975.877 ± 411.597  us/op
[info] StatsBenchmark_Large.foldLeft_mutable_nonfinal_update         avgt   20  20630.791 ± 602.945  us/op
[info] StatsBenchmark_Large.foreach_array_updated                    avgt   20  16018.075 ± 176.052  us/op
[info] StatsBenchmark_Large.foreach_immutable_final_updated          avgt   20  19799.384 ± 460.656  us/op
[info] StatsBenchmark_Large.foreach_immutable_nonfinal_updated       avgt   20  26659.399 ± 673.895  us/op
[info] StatsBenchmark_Large.foreach_mutable_final_updated            avgt   20  16852.302 ± 506.946  us/op
[info] StatsBenchmark_Large.foreach_mutable_nonfinal_updated         avgt   20  20936.433 ± 980.000  us/op
[info] StatsBenchmark_Small.fastFoldLeft_array_update                avgt   20      0.385 ±   0.004  us/op
[info] StatsBenchmark_Small.fastFoldLeft_immutable_final_updated     avgt   20      0.704 ±   0.004  us/op
[info] StatsBenchmark_Small.fastFoldLeft_immutable_nonfinal_updated  avgt   20      0.725 ±   0.014  us/op
[info] StatsBenchmark_Small.fastFoldLeft_mutable_final_update        avgt   20      0.395 ±   0.001  us/op
[info] StatsBenchmark_Small.fastFoldLeft_mutable_nonfinal_update     avgt   20      0.434 ±   0.006  us/op
[info] StatsBenchmark_Small.fastForeach_array_updated                avgt   20      0.358 ±   0.007  us/op
[info] StatsBenchmark_Small.fastForeach_immutable_final_updated      avgt   20      0.705 ±   0.004  us/op
[info] StatsBenchmark_Small.fastForeach_immutable_nonfinal_updated   avgt   20      0.726 ±   0.025  us/op
[info] StatsBenchmark_Small.fastForeach_mutable_final_updated        avgt   20      0.402 ±   0.004  us/op
[info] StatsBenchmark_Small.fastForeach_mutable_nonfinal_updated     avgt   20      0.406 ±   0.006  us/op
